
22/06/2018 18:59:23;Niveau 0;Florent;10;20;Francais
22/06/2018 19:00:21;Niveau 0;Fafa;10;34;Francais
22/06/2018 21:16:45;Niveau 0;Florent;20;172;Francais
22/06/2018 21:29:07;Niveau 2;Sophie;165;643;Francais
22/06/2018 21:30:01;Niveau 5;Sophie;6;31;Francais
22/06/2018 22:03:41;Niveau 4;Florent;0;30;Francais
22/06/2018 22:03:51;Niveau 4;Florent;0;5;Francais
22/06/2018 22:04:09;Niveau 4;Florent;0;16;Francais
22/06/2018 22:04:27;Niveau 4;Florent;0;16;Francais
22/06/2018 22:04:36;Niveau 4;Florent;0;7;Francais
22/06/2018 22:04:57;Niveau 4;Florent;0;18;Francais
22/06/2018 22:05:40;Niveau 4;Florent;1;36;Francais
24/06/2018 22:17:34;Niveau 0;Florent;10;52;Francais
24/06/2018 22:19:40;Niveau 0;Gege;20;41;Francais
25/06/2018 22:41:49;Niveau 0;Florent;123;340;Francais
25/06/2018 22:43:50;Niveau 0;S&F;10;19;Francais
25/06/2018 23:24:01;Niveau 0;Florent;30;33;Francais
25/06/2018 23:24:15;Niveau 0;Totor;30;33;Francais
25/06/2018 23:52:47;Niveau 0;Florent;20;2;32;Francais
25/06/2018 23:52:59;Niveau 0;Troiz;20;2;32;Francais
26/06/2018 00:00:42;Niveau 0;Florent;40;4;55;Francais
26/06/2018 00:01:01;Niveau 0;Delta bravo;40;4;55;Francais
26/06/2018 00:05:24;Niveau 0;Florent;10;1;21;Francais
26/06/2018 00:05:35;Niveau 0;Mr T;10;1;21;Francais
26/06/2018 22:51:56;Niveau 0;Florent;10;1;51;Francais
26/06/2018 22:52:32;Niveau 0;Test;10;1;51;Francais
27/06/2018 10:32:24;Niveau 0;Florent;10;1;61;Francais
27/06/2018 10:36:44;Niveau 0;Serpentar;10;1;61;Francais
27/06/2018 10:41:23;Niveau 0;Florent;10;1;26;Francais
27/06/2018 10:48:02;Niveau 0;Hector;10;1;26;Francais
27/06/2018 11:11:03;Niveau 0;Florent;10;1;32;Francais
27/06/2018 11:17:17;Niveau 0;Auguste;10;1;32;Francais
27/06/2018 11:21:48;Niveau 0;Florent;10;1;28;Francais
27/06/2018 11:23:58;Niveau 0;Laurelei;10;1;28;Francais
27/06/2018 11:27:08;Niveau 0;Florent;10;1;18;Francais
27/06/2018 11:29:21;Niveau 0;Whisky;10;1;18;Francais
27/06/2018 11:38:13;Niveau 0;Florent;10;1;26;Francais
27/06/2018 11:39:54;Niveau 0;Goliath;10;1;26;Francais
30/06/2018 16:18:08;Niveau 1;Esperanza;20;2;36;Anglais - mots simples
30/06/2018 16:18:53;Niveau 1;TchickAtchick;10;1;5;Anglais - mots simples
30/06/2018 19:20:11;Niveau 1;Gogo Gadgeto;10;1;9;Anglais - mots simples
30/06/2018 19:21:57;Niveau 2;Ernesto G.;10;1;9;Anglais - mots simples
30/06/2018 19:24:16;Niveau 2;Ursula A.;10;1;20;Anglais - mots simples
01/07/2018 02:07:21;Niveau 2;Romeo;10;1;18;Anglais - mots simples
01/07/2018 02:07:49;Niveau 2;Romeo;0;0;0;Anglais - mots simples
01/07/2018 02:08:20;Niveau 2;Papa Tango;10;1;6;Anglais - mots simples
01/07/2018 02:08:55;Niveau 2;Uniform Zoulou;10;1;9;Anglais - mots simples
01/07/2018 17:16:04;Niveau 1;India Zoulou;20;2;26;Anglais - mots simples
01/07/2018 17:22:38;Niveau 1;Gaston Lagafe;20;2;39;Anglais - mots simples
01/07/2018 17:45:29;Niveau 2;Alfredo CK;10;1;22;Anglais - mots communs
01/07/2018 17:46:35;Niveau 2;Alfredo CK;0;0;0;Anglais - mots communs
01/07/2018 17:47:33;Niveau 2;Super WWW;10;1;13;Anglais - mots communs
01/07/2018 18:00:58;Niveau 2;MC Goliath;40;4;104;Anglais - mots communs
01/07/2018 18:06:50;Niveau 0;M. Ronsard;30;3;129;Francais - difficile
01/07/2018 18:09:24;Niveau 0;Potiron Jr;20;2;29;Francais - difficile
01/07/2018 18:14:30;Niveau 0;Abracadabra;50;5;74;Francais - difficile
